Reference, Value, Footprint, Datasheet, Price (1500), Price, Distributor Part Number, Misc, Manufacturer Part Number
BTN_HOME1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
U5,PCF8563T/5,,http://www.digikey.com/product-detail/en/PCF8563T%2F5,518/568-6650-1-ND/2617089,0.5208,1.21,568-6650-1-ND,RTC,PCF8563T/5,518
C6,0.1uF,0805,http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089,0.0114,0.10,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,CL21B104KBCNNNC
R22,22_o,,http://www.digikey.com/product-detail/en/ERJ-6ENF22R0V/P22.0CCT-ND/1746835,0.008,0.10,P22.0CCT-ND,RES SMD 22 OHM 1% 1/8W 0805,ERJ-6ENF22R0V
C7,0.1uF,0805,http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089,0.0114,0.10,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,CL21B104KBCNNNC
R23,22_o,,http://www.digikey.com/product-detail/en/ERJ-6ENF22R0V/P22.0CCT-ND/1746835,0.008,0.10,P22.0CCT-ND,RES SMD 22 OHM 1% 1/8W 0805,ERJ-6ENF22R0V
R21,22_o,,http://www.digikey.com/product-detail/en/ERJ-6ENF22R0V/P22.0CCT-ND/1746835,0.008,0.10,P22.0CCT-ND,RES SMD 22 OHM 1% 1/8W 0805,ERJ-6ENF22R0V
U6,CONN_AUDIO,,http://www.digikey.com/product-detail/en/SJ-43515TS-SMT-TR/CP-43515TSSJCT-ND/669733,0.5888,1.54,CP-43515TSSJCT-ND,CP-43515TSSJTR-ND,SJ-43515TS-SMT-TR
C5,0.1uF,0805,http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089,0.0114,0.10,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,CL21B104KBCNNNC
SP1,SPEAKER,,
R25,100ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551,0.008,0.10,P100KCCT-ND,RES SMD 100K OHM 1% 1/8W 0805,ERJ-6ENF1003V
R24,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
